type,location,name,value,suspicious
Service,Services.msc,"""EFS"",""Encrypting File System (EFS)"",""Stopped"",""Manual""","""EFS"",""Encrypting File System (EFS)"",""Stopped"",""Manual""",True
Service,Services.msc,"""PolicyAgent"",""IPsec Policy Agent"",""Stopped"",""Manual""","""PolicyAgent"",""IPsec Policy Agent"",""Stopped"",""Manual""",True
Service,Services.msc,"""QEMU-GA"",""QEMU Guest Agent"",""Running"",""Automatic""","""QEMU-GA"",""QEMU Guest Agent"",""Running"",""Automatic""",True
Service,Services.msc,"""RasAuto"",""Remote Access Auto Connection Manager"",""Stopped"",""Manual""","""RasAuto"",""Remote Access Auto Connection Manager"",""Stopped"",""Manual""",True
Service,Services.msc,"""RasMan"",""Remote Access Connection Manager"",""Running"",""Manual""","""RasMan"",""Remote Access Connection Manager"",""Running"",""Manual""",True
Service,Services.msc,"""RemoteAccess"",""Routing and Remote Access"",""Stopped"",""Disabled""","""RemoteAccess"",""Routing and Remote Access"",""Stopped"",""Disabled""",True
Service,Services.msc,"""RemoteRegistry"",""Remote Registry"",""Stopped"",""Disabled""","""RemoteRegistry"",""Remote Registry"",""Stopped"",""Disabled""",True
Service,Services.msc,"""RpcLocator"",""Remote Procedure Call (RPC) Locator"",""Stopped"",""Manual""","""RpcLocator"",""Remote Procedure Call (RPC) Locator"",""Stopped"",""Manual""",True
Service,Services.msc,"""RpcSs"",""Remote Procedure Call (RPC)"",""Running"",""Automatic""","""RpcSs"",""Remote Procedure Call (RPC)"",""Running"",""Automatic""",True
Service,Services.msc,"""SessionEnv"",""Remote Desktop Configuration"",""Stopped"",""Manual""","""SessionEnv"",""Remote Desktop Configuration"",""Stopped"",""Manual""",True
Service,Services.msc,"""ssh-agent"",""OpenSSH Authentication Agent"",""Stopped"",""Disabled""","""ssh-agent"",""OpenSSH Authentication Agent"",""Stopped"",""Disabled""",True
Service,Services.msc,"""TermService"",""Remote Desktop Services"",""Stopped"",""Manual""","""TermService"",""Remote Desktop Services"",""Stopped"",""Manual""",True
Service,Services.msc,"""tzautoupdate"",""Auto Time Zone Updater"",""Stopped"",""Disabled""","""tzautoupdate"",""Auto Time Zone Updater"",""Stopped"",""Disabled""",True
Service,Services.msc,"""UmRdpService"",""Remote Desktop Services UserMode Port Redirector"",""Stopped"",""Man","""UmRdpService"",""Remote Desktop Services UserMode Port Redirector"",""Stopped"",""Manual""",True
Service,Services.msc,"""UsoSvc"",""Update Orchestrator Service"",""Running"",""Automatic""","""UsoSvc"",""Update Orchestrator Service"",""Running"",""Automatic""",True
Service,Services.msc,"""vdservice"",""SPICE VDAgent"",""Running"",""Automatic""","""vdservice"",""SPICE VDAgent"",""Running"",""Automatic""",True
Service,Services.msc,"""WEPHOSTSVC"",""Windows Encryption Provider Host Service"",""Stopped"",""Manual""","""WEPHOSTSVC"",""Windows Encryption Provider Host Service"",""Stopped"",""Manual""",True
Service,Services.msc,"""WinRM"",""Windows Remote Management (WS-Management)"",""Stopped"",""Disabled""","""WinRM"",""Windows Remote Management (WS-Management)"",""Stopped"",""Disabled""",True
Service,Services.msc,"""wuauserv"",""Windows Update"",""Stopped"",""Manual""","""wuauserv"",""Windows Update"",""Stopped"",""Manual""",True
